index,seed,mae,mae2,mse,rmse,Test Accuracy,AR,Precision,Recall,F1_score
TATACOMM,3,9.976623908296942,0.015675585806907994,173.43961918952678,13.169647648647507,56.332,-15.22,0.543859649122807,0.5636363636363636,0.5535714285714286
TATAGLOBAL,9,4.836334654962134,0.018193372413222986,44.0146714327181,6.634355389389244,50.655,13.77,0.5165876777251185,0.9083333333333333,0.6586102719033232
TATAMOTORS,8,5.092407439785757,0.01443830926407541,45.95191154539098,6.778783928212418,57.642,-14.93,0.532608695652174,0.8990825688073395,0.6689419795221844
TATAMTRDVR,6,3.07343322220848,0.01534726158400986,16.186811962716856,4.023283728836043,49.782,-5.04,0.47029702970297027,0.9223300970873787,0.6229508196721311
TATAPOWER,8,0.9963417819493718,0.012031082874565299,1.9035102351120463,1.3796775837535544,56.769,-24.91,0.5319148936170213,0.47619047619047616,0.5025125628140702
TATASTEEL,10,9.390482140420303,0.014711228254513663,161.1334772701499,12.693836192032332,53.275,3.2,0.5483870967741935,0.5714285714285714,0.5596707818930041
TCS,5,19.086818751705792,0.01200180565798643,694.1985120927458,26.347647183244764,48.908,38.95,0.6666666666666666,0.14285714285714285,0.23529411764705882
TECHM,2,8.153257411640283,0.01357192092247702,120.75414628899117,10.988819148980074,57.205,36.98,0.6593406593406593,0.47244094488188976,0.5504587155963303
TITAN,6,11.582144684770741,0.0135945333670893,284.64184888036476,16.871332160809494,51.528,10.53,0.5416666666666666,0.5371900826446281,0.5394190871369294
TVSMOTOR,1,13.178853039863787,0.020609504027053784,285.2166126774443,16.888357311397822,48.205,12.51,0.4418604651162791,0.6627906976744186,0.5302325581395348
UBL,4,27.62885097187159,0.024974783952992803,1393.1574937018597,37.32502503283634,54.148,64.14,0.6024096385542169,0.4098360655737705,0.4878048780487805
ULTRACEMCO,4,57.62244686476527,0.014025738522184814,5418.430640076525,73.60999008338831,53.712,1.69,0.550561797752809,0.4260869565217391,0.48039215686274506
UNIONBANK,5,3.0096200601502807,0.026226178642211877,30.394918203242668,5.513158641218541,51.092,-4.5,0.47337278106508873,0.7766990291262136,0.5882352941176471
UPL,6,10.185842828875547,0.01419841376047735,191.78813515908863,13.848759336456412,52.402,-18.05,0.49333333333333335,0.6915887850467289,0.5758754863813229
VEDL,8,4.7667243255428025,0.017473938741803398,36.4555946480055,6.03784685529581,55.828,-8.71,0.46875,0.6818181818181818,0.5555555555555556
VOLTAS,3,10.122228737377183,0.01710873933870813,177.11300381335732,13.308380961385097,56.332,33.02,0.5416666666666666,0.5909090909090909,0.5652173913043478
WIPRO,7,2.792880635490583,0.009740784242321018,13.894741996736888,3.727565156605165,51.965,16.17,0.49523809523809526,0.47706422018348627,0.48598130841121495
WOCKPHARMA,2,21.190649809966217,0.028694838724117416,780.8645278086809,27.943953331779685,53.514,48.07,0.5130434782608696,0.6629213483146067,0.5784313725490196
YESBANK,10,4.636725999590614,0.013761559169159405,38.73325586913457,6.223604732719982,50.218,-8.71,0.5070422535211268,0.6206896551724138,0.5581395348837208
ZEEL,3,6.274224133887146,0.011224452968299582,66.7591921648224,8.170629851169517,57.642,-9.08,0.6116504854368932,0.525,0.5650224215246636
